stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-20127,08/18/2011,0,12/23/2011,,,06/12/2012,05/29/2013,4,4,0,02/04/2014,5,0,05/21/2014,5,1,10/02/2014,5,1,88,,,05/08/2015,5,1,88,,,,11/10/2015,5,1,1,,,,05-Apr-16,5,0,,,,2016/11/15,1,1,4,,0,,
C-20128,,,,,,06/12/2012,05/29/2013,6,4,0,02/04/2014,3,0,05/21/2014,5,1,10/02/2014,3,1,1,,,05/08/2015,4,1,0,,,,11/10/2015,4,1,88,,,,05-Apr-16,4,88,,,,2016/11/15,1,1,4,,0,,
C-20129,08/18/2011,0,01/04/2012,,,06/14/2012,05/29/2013,3,4,0,02/04/2014,2,0,05/21/2014,3,1,10/02/2014,3,1,88,,,05/08/2015,3,1,0,,,,11/10/2015,3,1,0,,,,05-Apr-16,3,0,,,,2016/11/15,1,1,4,,0,,
C-20130,,,01/04/2012,,,06/12/2012,05/29/2013,4,4,0,02/04/2014,4,0,05/21/2014,4,1,10/02/2014,4,1,88,,,05/08/2015,5,1,88,,,,11/10/2015,5,1,1,,,1,05-Apr-16,5,1,,,1,2016/11/15,1,1,4,,0,,
C-20131,,,01/04/2012,,,,05/29/2013,7,4,0,02/04/2014,7,0,05/21/2014,8,1,10/02/2014,8,1,88,,,05/08/2015,6,1,1,,,1,11/10/2015,6,1,1,,,1,05-Apr-16,6,1,,,,2016/11/15,1,1,4,,88,,
C-20132,,,,,,06/12/2012,05/29/2013,2,4,0,02/04/2014,1,0,05/21/2014,1,1,10/03/2014,1,1,0,,,05/08/2015,1,1,1,,,1,11/10/2015,1,1,1,,,1,05-Apr-16,1,1,,,1,2016/11/15,1,1,4,,0,,
C-20133,08/18/2011,0,01/04/2012,,,06/13/2012,05/29/2013,1,4,0,02/04/2014,2,0,05/21/2014,2,1,10/03/2014,2,1,0,,,05/08/2015,2,1,88,,,,11/10/2015,2,1,1,,,1,05-Apr-16,2,1,,,1,2016/11/15,1,1,4,,0,,
C-20137,08/18/2011,0,01/04/2012,,,06/12/2012,05/28/2013,6,4,0,02/04/2014,5,0,05/21/2014,6,1,,,,,,,05/08/2015,5,1,88,,,,11/10/2015,5,1,88,,,,05-Apr-16,5,88,,,,2016/11/15,1,1,4,,0,,
C-20138,08/18/2011,0,01/10/2012,,,06/12/2012,,,,,02/04/2014,2,0,05/21/2014,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-20139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/10/2015,2,1,0,,,,05-Apr-16,2,0,,,,2016/11/15,1,1,4,,88,,
